"rca","Sistema Eléctrico","estado","Comuna","nombre","Combustible","Potencia MW","Unidades","Coordenada Norte","Uso","Región","Provincia","Propietario","Coordenada Este","Datum"
"SIN RCA","SIC","EN OPERACION","OSORNO","SKRETTING OSORNO","DIESEL","3,20","4","153092,02","19","X REGION DE LOS LAGOS","OSORNO","SAGESA","153092,02","WGS/84"
"SIN RCA","SIC","EN OPERACION","PUYEHUE","SOUTHERN BULBS","DIESEL","0,80","1","175879,40","19","X REGION DE LOS LAGOS","OSORNO","SAGESA","175879,40","WGS/84"
"RCA 203/2013","SIC","EN OPERACION","LAJA","CMPC LAJA","LICOR NEGRO/BIOMASA","111,15","2","170969,81","19","VIII REGION DEL BIO/BIO","BIO/BIO","CMPC CELULOSA SA","170969,81","WGS/84"
"RCA132/2013","SIC","EN OPERACION","CURANILAHUE","TRONGOL","DIESEL","4,40","5","117942,53","19","VIII REGION DEL BIO/BIO","ARAUCO","SAGESA","117942,53","WGS/84"
"SIN RCA","SIC","EN OPERACION","OSORNO","WATTS 1","DIESEL","0,80","1","153244,98","19","X REGION DE LOS LAGOS","OSORNO","SAGESA","153244,98","WGS/84"
"SIN RCA","SIC","EN OPERACION","OSORNO","WATTS 2","DIESEL","1,60","2","153511,09","19","X REGION DE LOS LAGOS","OSORNO","SAGESA","153511,09","WGS/84"
"RCA 121/2004","SIC","EN OPERACION","CABRERO","CENTRAL YUNGAY","GAS NATURAL/DIESEL","218,00","4","207359,66","19","VIII REGION DEL BIO/BIO","BIO/BIO","DUKE ENERGY","207359,66","WGS/84"
"RCA 293/2005 / RCA 1372/2009","SIC","EN OPERACION","LLAILLAY","LOS VIENTOS","DIESEL","125,00","1","311621,68","19","V REGION DE VALPARAISO","SAN FELIPE","AES GENER","311621,68","WGS/84"
"RCA 34/2002 / RCA 59/2002","SIC","EN OPERACION","MOSTAZAL","SAN FRANCISCO DE MOSTAZAL","DIESEL","24,00","1","343108,80","19","VI REGION DEL LIBERTADOR BERNARDO O'HIGGINS","CACHAPOAL","AES GENER","343108,80","WGS/84"
"RCA 91/1999","SIC","EN OPERACION","VALDIVIA","ANTILHUE","DIESEL","101,80","2","141661,00","19","XIV REGION DE LOS RIOS","VALDIVIA","ANTILHUE","141661,00","WGS/84"
