Plant Code,Plant Name,Owner,NERC Region,Latitude,Longitude,Weighted Year.Month,Primary Fuel,Total Capacity (MW),Net Generation (MWh)
58512,Cornerstone Power Vineland I LLC,OCI Solar Power,RFC,39.439722,-75.043889,2013,Solar,6.2,5575
58513,Ironwood Solar LLC,Ironwood Solar LLC,WECC,33.565,-114.918056,2013,Solar,8,6201
58514,Desert Hot Springs Solar,Consolidated Edison Solutions Inc,WECC,33.923056,-116.53,2014,Solar,4.6,0
58515,Chattanooga Metropolitan Airport Solar,Chattanooga Metropolitan Airport,RFC,35.0375,-85.196944,2013,Solar,4.2,2735
58516,Union HS at Casa Grande,"Constellation NewEnergy, Inc",WECC,32.936944,-111.738611,2013,Solar,3.2,3343
58517,Vista Grande HS at Casa Grande,"Constellation NewEnergy, Inc",WECC,32.891389,-111.713056,2013,Solar,3.6,2888
58518,WSACC Power Generation Facility,WSACC,SERC,35.326111,-80.542222,2015,Waste,1.9,366
58519,Alethea I,"Syncarpha Alethea I, LLC",RFC,40.000556,-74.735,2012,Solar,5.6,3570
58520,Otero Solar,First Solar Project Development,WECC,32.976389,-105.971111,2014,Solar,15,18476
58521,Manzano Solar,First Solar Project Development,WECC,34.746667,-106.654444,2014,Solar,16,18826
58522,Madera Community Hospital,Borrego Solar Systems Inc,WECC,36.941111,-120.046667,2012,Solar,2,2197
58523,Stoltze CoGen1,F H Stoltze Land & Lumber Co,WECC,48.286944,-114.243611,2014,Waste,3.8,13009
58524,Neuse River Solar Farm,NRSF OPCO LLC,SERC,35.718056,-78.486944,2012,Solar,2.2,1750
58525,City of Hayward WWTP,City of Hayward,WECC,37.633333,-122.130833,2011,Solar,2,2316
58526,Uwharrie Mountain Renewable,"Uwharrie Mountain Renewable Energy, LLC",SERC,35.332974,-79.964939,2015,Waste,9.6,28073
58527,Crown Cooling Facility,Five Crowns Inc,WECC,32.967222,-115.5325,2012,Solar,2,1936
58528,Garnet Solar Power Station 1 LLC,Garnet Solar Power Station 1 LLC,WECC,33.890556,-116.543056,2015,Solar,8,135
58529,Progress Manis I,"North Carolina Solar I, LLC",SERC,34.756389,-79.447222,2013,Solar,2,3336
58531,North Carolina Solar Bethea I,"North Carolina Solar II, LLC",SERC,34.704722,-79.525833,2013,Solar,2,3354
58533,Wild Rose Geothermal Power Plant,Ormat Nevada Inc,WECC,38.836667,-118.323889,2015,Geothermal,20,150459
58534,Westford Solar Park,Westford Solar Park,NPCC,42.636389,-71.419444,2013,Solar,8,5482
58535,Pickering Solar,Aqua America Inc,RFC,40.120556,-75.488056,2013,Solar,3,2001
58536,Cornerstone Power Holmdel LLC,OCI Solar Power,RFC,40.352222,-74.187778,2014,Solar,6,5024
58537,OCI Alamo Solar I,OCI Solar Power,TRE,29.271667,-98.444722,2014,Solar,81.4,56043
58538,PCSP3 Airport,Carolina Solar Energy II LLC,SERC,36.288056,-78.986111,2012,Solar,5,4230
58539,Lake Pleasant WTP,Solar Star Arizona III LLC,WECC,33.820556,-112.24,2013,Solar,13,14970
