PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language
1000136,Vanderkloof,Hydro,240,,Dam with Reservoir,1997,2,Eskom,,,Eskom,Vanderkloof Pumped Storage,,,,,,,Operating,South Africa,Southern Africa Grid,-29.99337,24.73384,,,,,,,,
1026016,Bethlehem,Hydro,5.8,,Dam with Reservoir,,,Bethlehem Hydro Ltd,,,CDM,https://cdm.unfccc.int/filestorage/4/T/X/4TXJ09LZPA3EOK2QBRMNICV1SHW5GD/2692%20PDD%20RCP.pdf?t=SWJ8b2pkNmZjfDD9AP4HLOLm6sPZCk_Vg6Ap,,,,,,,Operating,South Africa,,-28.217,28.36314,,,,,,,,
1026017,Neusberg,Hydro,12.57,Kakamas,Run of River,,,,,,CDM,https://cdm.unfccc.int/filestorage/t/z/MGRXNJW6LIFP7TYHB3E8O9S4VQ12AC.pdf/Neusberg%20Grid%20Connected%20Hydroelectric%20Power%20Plant%2C%20South%20Africa.pdf?t=S0R8b2pkNm1ofDDHCciysjdEqJ9GrpoNRKeP,,,,,,,Operating,South Africa,,-28.772,20.74305,,,,,,,,
1000115,Acacia,Natural Gas,171,,OCGT,1976,3,Eskom,,,Eskom,http://www.eskom.co.za/Whatweredoing/ElectricityGeneration/PowerStations/Pages/Acacia_Power_Station.aspx,,,,,,99.09%,Operating,South Africa,Southern Africa Grid,-33.88408,18.53361,,,,,,,,
1000133,Port Rex,Natural Gas,171,,OCGT,1976,3,Eskom,,,Eskom,Port Rex,,,,,,98.73%,Operating,South Africa,Southern Africa Grid,-33.02739,27.88382,,,,,,,,
1000137,Koeburg,Nuclear,1800,,PWR,1984-1985,2,Eskom,"13,668",,Eskom,Koeburg Nuclear Station,32.40%,,,,,83.10%,Operating,South Africa,Southern Africa Grid,-33.67366,18.42811,,,,,,,,
1000122,Gourikwa,Oil,740,,OCGT,2007-2008,5,Eskom,,,Eskom,Gouikwa Power Station,,,,,,,Operating,South Africa,Southern Africa Grid,-34.16526,21.96077,,,,,,,,
1026033,Aries Solar Power Plant,Solar,9.7,,,,,Juwi Renewable Energies (Pty) Ltd,,,Juwi,http://www.juwi.co.za/projects/,,,,,,,Operating,South Africa,,-29.497,20.7852,,,,,,,,
1026034,Aurora Solar Power Plant,Solar,10.3,,PV,,,SolaireDirect Southern Africa (Pty) Ltd,,,SolaireDirect,https://www.solairedirect.com/our-locations/africa/,,,,,,,Operating,South Africa,,-32.642,18.49735,,,,,,,,
1026035,Bokpoort Solar Power Plant,Solar,50,,CSP,,,Bokpoort CSP Project,,,South Africa Renewable Energy Organization,http://energy.org.za/knowledge-tools/project-database/bokpoort-csp-project/,,,,,,,Operating,South Africa,,-28.727,21.99508,,,,,,,,
1026036,Boshoff Solar Power Plant,Solar,60,,PV,,,Boshoff Solar Power Plant,,,Sun Edison Africa,https://web.archive.org/web/20160305101242/http://www.sunedisonemea.com/,,,,,,,Operating,South Africa,,-28.466,25.19474,,,,,,,,
1026037,De Aar - Mainstream Solar Power Plant,Solar,50,,PV,,,Mainstream Renewable Energy,,,De Aar Solar,http://deaarsolar.co.za/,,,,,,,Operating,South Africa,,-30.617,24.03474,,,,,,,,
1026038,De Aar - Mulilo Solar Power Plant,Solar,9.7,,PV,,,Mulilo Renewable Energy Solar PV De Aar,,,Mulilo,http://mulilo.com/our-projects/,,,,,,,Operating,South Africa,,-30.628,24.00542,,,,,,,,
1026039,De Aar 3 Solar Power Plant,Solar,75,,PV,,,Solar Capital De Aar 3,,,South Africa Renewable Energy Organization,http://energy.org.za/knowledge-tools/project-database/solar-capital-de-aar-3,,,,,,,Operating,South Africa,,-30.596,24.10257,,,,,,,,
1026040,Dreunberg Solar Power Plant,Solar,75,,PV,,,Linde Solar Power Plant,,,Scatec Solar,http://www.scatecsolar.com/Portfolio/South-Africa/Dreunberg-South-Africa-75-MW,,,,,,,Operating,South Africa,,-30.838,26.22587,,,,,,,,
1026041,Droogfontein Solar Power Plant,Solar,50,,PV,,,Mainstream Renewable Energy,,,Droogfontein,http://droogfonteinsolar.co.za/,,,,,,,Operating,South Africa,,-28.612,24.75206,,,,,,,,
1026042,Greefspan Solar Power Plant,Solar,10,,PV,,,AE-AMD Independent Power Producer 1 (Pty) Ltd,,,AR AMD Renewable Energy,http://ae-amd.co.za/portfolio/,,,,,,,Operating,South Africa,,-29.391,23.31167,,,,,,,,
