PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant Type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh,Year of Data
1016129,Mérida III    ( PIE )1/,Natural Gas,484,Mérida,CCGT,,,,3371,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,79.5,,Operating,Mexico,,,,,,Mérida,,,,,,,,2007
1016130,Hermosillo,Natural Gas,225,Hermosillo,CCGT,,,,165,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,8.4,,Operating,Mexico,,,,,,Hermosillo,,,,,,,,2007
1016131,Hermosillo    ( PIE )1/,Natural Gas,250,Hermosillo,CCGT,,,,1316,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,60.1,,Operating,Mexico,,,,,,Hermosillo,,,,,,,,2007
1016134,El Encino (Chihuahua II),Natural Gas,554,Chihuahua,CCGT,,,,3053,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,62.9,,Operating,Mexico,,,,,,Chihuahua,,,,,,,,2007
1016135,Tuxpan II   ( PIE )1/,Natural Gas,495,Tuxpan,CCGT,,,,3397,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,78.4,,Operating,Mexico,,,,,,Tuxpan,,,,,,,,2007
1016136,Tuxpan III y IV    ( PIE )1/,Natural Gas,983,Tuxpan,CCGT,,,,5464,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,63.5,,Operating,Mexico,,,,,,Tuxpan,,,,,,,,2007
1016137,Saltillo    ( PIE )1/,Natural Gas,248,Ramos Arizpe,CCGT,,,,1432,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,66,,Operating,Mexico,,,,,,Ramos Arizpe,,,,,,,,2007
1016138,La Laguna II    ( PIE )1/,Natural Gas,498,Gómez Palacio,CCGT,,,,2754,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,78.9,,Operating,Mexico,,,,,,Gómez Palacio,,,,,,,,2007
1016140,Río Bravo II    ( PIE )1/,Natural Gas,495,Valle Hermoso,CCGT,,,,2279,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,52.6,,Operating,Mexico,,,,,,Valle Hermoso,,,,,,,,2007
1016141,Río Bravo III    ( PIE )1/,Natural Gas,495,Valle Hermoso,CCGT,,,,1717,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,39.6,,Operating,Mexico,,,,,,Valle Hermoso,,,,,,,,2007
