PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_tCO2/MWh,Data Year
1022831,Ballinlough/Ikerrin,Wind,2.55,Tipperary,Onshore Wind,2006,3,,,V52/850,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,52.8301,-8.07519,,,,,,,,,,,2016
1022832,Ballinveny,Wind,2.55,Tipperary,Onshore Wind,2006,3,,,V52/850,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022833,Ballybane,Wind,29.9,Cork,Onshore Wind,2008,13,Windprospect,,E-70,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022934,Loughderryduff,Wind,7.65,Donegal,Onshore Wind,2008,9,,,V52,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022935,Lurganboy,Wind,5.4,Donegal,Onshore Wind,2008,6,,,E-44,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022936,Mace Upper,Wind,2.4,Mayo,Onshore Wind,2009,3,,,E-48,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,53.7707,-8.97095,,,,,,,,,,,2016
1022937,Meenachullalan,Wind,13.8,Donegal,Onshore Wind,2008,6,,,E70,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022938,Meenadreen,Wind,3.4,Donegal,Onshore Wind,2003,4,B9,,V52,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022939,Meenanilta,Wind,2.55,Donegal,Onshore Wind,2004,3,,,V52,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022940,Meenanilta 3,Wind,3.2,Donegal,Onshore Wind,2004,4,,,E-48,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022941,Meentycat,Wind,72,Donegal,Onshore Wind,2005,38,SSE Renewables,,,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,54.8702,-7.85615,,,,,,,,,,,2016
1022942,Meentycat Extension,Wind,14,Donegal,Onshore Wind,2009,7,SSE Renewables,,,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022943,Midas,Wind,32.24,Kerry,Onshore Wind,2007,23,SSE Renewables,,V90 and V52,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022834,Ballycurreen Wind Farm,Wind,4.99,Waterford,Onshore Wind,2014,2,Wind Source,,E82,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022835,Ballymartin,Wind,6.9,Kilkenny,Onshore Wind,2010,3,Bord Gáis Energy,,E-82,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022836,Ballynancoran 1,Wind,4,Wexford,Onshore Wind,2013,2,Ballynancoran Wind Farm ltd,,E82,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022837,Ballywater,Wind,42,Wexford,Onshore Wind,2006,21,,,E-70,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,52.5387,-6.23957,,,,,,,,,,,2016
1022838,Barnesmore,Wind,15,Donegal,Onshore Wind,1997,21,B9,,V42/600,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022839,Barranafaddock,Wind,32.4,Waterford,Onshore Wind,2015,12,Element Power,,,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,52.179,-8.091,,,,,,,,,,,2016
1022840,Bawnmore 1,Wind,11.5,Cork,Onshore Wind,2011,5,,,E-82,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022841,Bawnmore 2 (Carriganima),Wind,13.8,Cork,Onshore Wind,2011,6,,,E-82,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022842,Beal Hill/1,Wind,1.65,Kerry,Onshore Wind,2000,1,,,V66,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022843,Beal Hill/2,Wind,2.55,Kerry,Onshore Wind,2003,3,,,V52/850,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022944,Mienvee(I and II),Wind,1.7,Tipperary,Onshore Wind,2004,1,SWS,,V52,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022945,Milane Hill,Wind,5.94,Cork,Onshore Wind,2000,9,B9,,V47,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022946,Moanmore,Wind,14,Clare,Onshore Wind,2006,7,,,E-70 E4,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
