PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_tCO2/MWh
1025085,Gignac,Hydro,3.2,Gignac,Hydro,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,43.6395,3.57362,,,,,,,,,,
1025082,Tende,Hydro,3.2,Tende,Hydro,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,44.0996,7.54034,,,,,,,,,,
1025086,Domène,Hydro,3.2,Domène,Hydro,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,45.2044,5.83712,,,,,,,,,,
1025084,Saint-Bihy,Wind,3.2,Saint-Bihy,Onshore Wind,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,48.3754,-2.96816,,,,,,,,,,
1025087,Méréville,Hydro,3.196,Méréville,Hydro,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,48.5912,6.13688,,,,,,,,,,
1025088,Blaringhem,Biomass,3.193,Blaringhem,,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,50.69,2.40884,,,,,,,,,,
1025089,Marignane,Solar,3.19216,Marignane,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,43.4173,5.21217,,,,,,,,,,
1025090,Saint-Léonard-de-Noblat,Hydro,3.17,Saint-Léonard-de-Noblat,Hydro,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,45.841,1.49541,,,,,,,,,,
1025091,Castres,Solar,3.15121,Castres,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,43.6156,2.23816,,,,,,,,,,
1025092,Saint-Julien-Mont-Denis,Hydro,3.15,Saint-Julien-Mont-Denis,Hydro,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,45.2803,6.41753,,,,,,,,,,
1025093,Hombourg,Solar,3.13082,Hombourg,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,47.7565,7.49103,,,,,,,,,,
1025094,Saint-Lizier,Hydro,3.107,Saint-Lizier,Hydro,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,43.0002,1.12919,,,,,,,,,,
1025095,Germ,Hydro,3.1,Germ,Hydro,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,42.7767,0.44072,,,,,,,,,,
1025096,Passy,Hydro,3.1,Passy,Hydro,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,45.954,6.73985,,,,,,,,,,
1025097,Montech,Solar,3.09452,Montech,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,43.9523,1.23742,,,,,,,,,,
