PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1018934,Ilısu Dam,Hydro,"1,200",,Dam with Reservoir,,,,,,Enerji Atlasi,http://www.enerjiatlasi.com/hidroelektrik/,,,,,,,,Turkey,,37.530202,41.852873,,,,,,,,,,
1018753,Hamitabat Termik Santrali,Natural Gas,1156,Kırklareli,CCGT,,,Limak Enerji,"4,451",,Enerji Atlasi,http://www.enerjiatlasi.com/dogalgaz/,,,,,,,,Turkey,,41.48266,27.33665,,,,,,,,,,
1018754,Aksa Antalya Doğalgaz Santrali,Natural Gas,1150,Antalya,CCGT,,,Aksa Enerji,"6,278",,Enerji Atlasi,http://www.enerjiatlasi.com/dogalgaz/aksa-antalya-dogalgaz-santrali.html,,,,,,,,Turkey,,,,,,,,,,,,,
1018707,Soma,Lignite Coal,990,,Sub-critical thermal,,,EÜAŞ,"5,535",Lignite Coal,Enerji Atlasi,http://www.enerjiatlasi.com/komur/soma-termik-santrali.html,,,,,,,,Turkey,,39.195263,27.635731,,,,,,,,,,
1018755,Bandırma Doğalgaz Santrali,Natural Gas,931,Balıkesir,CCGT,,,Enerjisa Elektrik,"7,540",,Enerji Atlasi,http://www.enerjiatlasi.com/dogalgaz/bandirma-dogalgaz-termik-santrali.html,,,,,,,,Turkey,,40.37859,27.91157,,,,,,,,,,
1018756,Erzin Doğalgaz Santrali,Natural Gas,904,Hatay,CCGT,,,Akenerji,"4,825",,Enerji Atlasi,http://www.enerjiatlasi.com/dogalgaz/erzin-dogalgaz-santrali.html,,,,,,,,Turkey,,,,,,,,,,,,,
1018757,OMV Samsun Doğalgaz Santrali,Natural Gas,887,Samsun,CCGT,,,OMV Samsun Elektrik,"6,000",,Enerji Atlasi,http://www.enerjiatlasi.com/dogalgaz/omv-samsun-dogalgaz-santrali.html,,,,,,,,Turkey,,41.24001,36.47672,,,,,,,,,,
1018758,Yeni Elektrik Doğalgaz Çevrim Santrali,Natural Gas,865,Kocaeli,CCGT,,,Yeni Elektrik Üretim,"6,500",,Enerji Atlasi,http://www.enerjiatlasi.com/dogalgaz/yeni-elektrik-dogalgaz-santrali.html,,,,,,,,Turkey,,,,,,,,,,,,,
1018759,Cengiz Enerji Samsun,Natural Gas,849,Samsun,CCGT,,,Cengiz Enerji,"6,822",,Enerji Atlasi,http://www.enerjiatlasi.com/dogalgaz/cengiz-enerji-samsun.html,,,,,,,,Turkey,,41.239321,36.479881,,,,,,,,,,
1018760,Ambarlı A Doğalgaz Santrali,Natural Gas,816,İstanbul,Sub-critical thermal,,,EÜAŞ,,,Enerji Atlasi,http://www.enerjiatlasi.com/dogalgaz/,,,,,,,,Turkey,,40.979284,28.699412,,,,,,,,,,
1018761,Baymina Ankara Doğalgaz Santrali,Natural Gas,798,Ankara,CCGT,,,Baymina Enerji,"5,376",,Enerji Atlasi,http://www.enerjiatlasi.com/dogalgaz/baymina-ankara-dogalgaz-santrali.html,,,,,,,,Turkey,,39.777258,32.40217,,,,,,,,,,
1018763,Turcas Denizli Doğalgaz S.,Natural Gas,775,Denizli,CCGT,,,Turcas Elektrik,"6,197",,Enerji Atlasi,http://www.enerjiatlasi.com/dogalgaz/turcas-denizli-dogalgaz.html,,,,,,,,Turkey,,,,,,,,,,,,,
1018762,Enka Adapazarı Doğalgaz Santrali,Natural Gas,770,Sakarya,CCGT,,,Enka Elektrik,"5,658",,Enerji Atlasi,http://www.enerjiatlasi.com/dogalgaz/,,,,,,,,Turkey,,,,,,,,,,,,,
1018914,Altınkaya Dam,Hydro,700,Samsun,Dam with Reservoir,1980-1988,,,,,Enerji Atlasi,http://www.enerjiatlasi.com/hidroelektrik/,,,,,,,,Turkey,,41.366779,35.724449,,,,,,,,,,
1018921,Birecik Dam,Hydro,672,Şanlıurfa,Run of the River,1985-2000,,,,,Enerji Atlasi,http://www.enerjiatlasi.com/hidroelektrik/,,,,,,,,Turkey,,37.054188,37.890062,,,,,,,,,,
1018926,Deriner Dam,Hydro,670,Artvin,Dam with Reservoir,1998-2012,,,,,Enerji Atlasi,http://www.enerjiatlasi.com/hidroelektrik/,,,,,,,,Turkey,,41.169643,41.869745,,,,,,,,,,
1018692,EÜAS Ambarlı FO Sant. Istanbul,Fuel Oil,630,,,,1,,,,Enerji Atlasi,http://www.enerjiatlasi.com/cesitli/,,,,,,,,Turkey,,,,,,,,,,,,,
1018709,Yatağan,Lignite Coal,630,"Muğla , Bodrum",Sub-critical thermal,,,Bereket Enerji,"2,722",Lignite Coal,Enerji Atlasi,http://www.enerjiatlasi.com/komur/yatagan-termik-santrali.html,,,,,,,,Turkey,,37.331677,28.101663,,,,,,,,,,
1018708,Kemerköy,Lignite Coal,630,"Muğla , Milas",Sub-critical thermal,,,Limak Enerji,"2,642",Lignite Coal,Enerji Atlasi,http://www.enerjiatlasi.com/komur/kemerkoy-termik-santrali.html,,,,,,,,Turkey,,37.034318,27.901127,,,,,Once Through,,,,,
1018710,Çayırhan Termik Santrali,Lignite Coal,620,"Ankara, Nallihan",Sub-critical thermal,,,Ciner Enerji,"3,533",Lignite Coal,Enerji Atlasi,http://www.enerjiatlasi.com/komur/cayirhan-termik-santrali.html,,,,,,,,Turkey,,40.095948,31.695372,,,,,,,,,,
1018764,Bandirma 2 Doğalgaz Santrali,Natural Gas,607,,CCGT,,,Enerjisa Elektrik,,,Enerji Atlasi,http://www.enerjiatlasi.com/dogalgaz/,,,,,,,,Turkey,,,,,,,,,,,,,
1018711,Seyitömer,Lignite Coal,600,"Kütahya, Tavşanlı",Sub-critical thermal,,,Çelikler Elektrik,"3,380",Lignite Coal,Enerji Atlasi,http://www.enerjiatlasi.com/komur/seyitomer-termik-santrali.html,,,,,,,,Turkey,,39.573573,29.882189,,,,,,,,,,
1018765,İç Anadolu Doğalgaz Kombine Çevrim Santrali,Natural Gas,560,Kirkkale,CCGT,,,Gama Enerji,"4,200",,Enerji Atlasi,http://www.enerjiatlasi.com/dogalgaz/ic-anadolu-dogalgaz-santrali.html,,,,,,,,Turkey,,,,,,,,,,,,,
1018949,Oymapinar Dam,Hydro,540,Antalya,Dam with Reservoir,1977-1984,,,,,Enerji Atlasi,http://www.enerjiatlasi.com/hidroelektrik/,,,,,,,,Turkey,,36.908592,31.531632,,,,,,,,,,
1018923,Boyabat Dam,Hydro,513,,Dam with Reservoir,,,,,,Enerji Atlasi,http://www.enerjiatlasi.com/hidroelektrik/,,,,,,,,Turkey,,,,,,,,,,,,,
1018919,Berke Dam,Hydro,510,Adana,Dam with Reservoir,1995-1999,,,,,Enerji Atlasi,http://www.enerjiatlasi.com/hidroelektrik/,,,,,,,,Turkey,,,,,,,,,,,,,
1018932,Hasan Uğurlu Dam,Hydro,500,Samsun,Dam with Reservoir,1971-1981,,,,,Enerji Atlasi,http://www.enerjiatlasi.com/hidroelektrik/,,,,,,,,Turkey,,40.936705,36.649285,,,,,,,,,,
1018766,Bursa Doğalgaz Termik Santrali,Natural Gas,486,Bursa,CCGT,,,Bis Enerji,"1,788",,Enerji Atlasi,http://www.enerjiatlasi.com/dogalgaz/bursa-dogalgaz-termik-santrali.html,,,,,,,,Turkey,,40.23944,28.951784,,,,,,,,,,
1018768,Unimar Marmara Ereğlisi Doğalgaz Kombine Çevrim Santrali,Natural Gas,478,Tekirdağ,CCGT,,,Uni-Mar Enerji,"3,411",,Enerji Atlasi,http://www.enerjiatlasi.com/dogalgaz/marmaraereglisi-dogalgaz-santrali.html,,,,,,,,Turkey,,41.007218,27.973617,,,,,,,,,,
1018767,Marmaraereğlisi DKÇS,Natural Gas,478,Tekirdağ,CCGT,,,Trakya Elektrik,,,Enerji Atlasi,http://www.enerjiatlasi.com/dogalgaz/,,,,,,,,Turkey,,,,,,,,,,,,,
1018712,Kangal,Lignite Coal,457,"Sivas, Kangal",Sub-critical thermal,,,Konya Şeker Enerji,"2,078",Lignite Coal,Enerji Atlasi,http://www.enerjiatlasi.com/komur/kangal-termik-santrali.html,,,,,,,,Turkey,,39.077416,37.29581,,,,,,,,,,
1018713,Yeniköy,Lignite Coal,420,"Muğla , Milas",Sub-critical thermal,,,IC İçtaş Enerji,"2,009",Lignite Coal,Enerji Atlasi,http://www.enerjiatlasi.com/komur/yenikoy-termik-santrali.html,,,,,,,,Turkey,,37.140454,27.871907,,,,,,,,,,
1018715,Tunçbilek Termik Santrali,Lignite Coal,365,Kütahya,Sub-critical thermal,,,EÜAŞ,1605,Lignite Coal,Enerji Atlasi,http://www.enerjiatlasi.com/komur/tuncbilek-termik-santrali.html,,,,,,,,Turkey,,39.6284598,29.4658009,,,,,,,,,,
1018716,İzdemir Enerji Aliağa Termik Santrali,Coal,350,"İzmir, Aliağa",Sub-critical thermal,,,İzmir Demir Çelik,"2,562",Imported Coal,Enerji Atlasi,http://www.enerjiatlasi.com/komur/izdemir-enerji-aliaga-termik-santrali.html,,,,,,,,Turkey,,,,,,,,,,,,,
